ID	Gene_Symbol	U133A_Gene?	Subtyping_Signature_Gene?
1	A1BG		
2	A2M	YES	
3	AAAS	YES	
4	AADAT		
5	AAGAB		
6	AAMP	YES	
7	AARS2		
8	AARSD1	YES	
9	AASDH		
10	AASS	YES	
11	AATF	YES	
12	ABAT	YES	
13	ABCA1	YES	
14	ABCA12	YES	
15	ABCA13		
16	ABCA2	YES	
17	ABCA3	YES	
18	ABCA4	YES	
19	ABCA7	YES	
20	ABCA8	YES	
21	ABCB10		
22	ABCB4	YES	
23	ABCB6	YES	
24	ABCB7	YES	
25	ABCB8	YES	
26	ABCB9	YES	
27	ABCC1	YES	
28	ABCC10	YES	
29	ABCC2	YES	
30	ABCC4	YES	
31	ABCC5	YES	
32	ABCC6	YES	
33	ABCC8	YES	
34	ABCD1	YES	
35	ABCD2	YES	
36	ABCD3	YES	
37	ABCD4	YES	
38	ABCE1	YES	
39	ABCF1	YES	
40	ABCF2	YES	
41	ABCF3	YES	
42	ABCG1	YES	
43	ABHD1		
44	ABHD11	YES	
45	ABHD12		
46	ABHD13		
47	ABHD14A	YES	
48	ABHD14B		
49	ABHD15		
50	ABHD16A		
51	ABHD2	YES	
52	ABHD3	YES	
53	ABHD4	YES	
54	ABHD5	YES	
55	ABI1	YES	
56	ABI2	YES	
57	ABL1	YES	
58	ABL2	YES	
59	ABLIM1	YES	Classical
60	ABRA		
61	ABT1	YES	
62	ABTB2	YES	
63	ACAA1	YES	
64	ACAA2	YES	
65	ACACA	YES	
66	ACACB	YES	
67	ACAD10	YES	
68	ACAD11		
69	ACAD8	YES	
70	ACAD9		
71	ACADL	YES	
72	ACADM	YES	
73	ACADS	YES	
74	ACADVL	YES	
75	ACAN	YES	
76	ACAP1		
77	ACAP2		
78	ACAP3		
79	ACAT1	YES	
80	ACAT2	YES	
81	ACBD3	YES	
82	ACBD4	YES	
83	ACBD5		
84	ACBD6		
85	ACBD7		
86	ACD	YES	
87	ACER2		
88	ACER3		
89	ACHE	YES	
90	ACIN1	YES	
91	ACLY	YES	
92	ACMSD		
93	ACN9	YES	
94	ACO1	YES	
95	ACOT1		
96	ACOT12		
97	ACOT13		
98	ACOT2		
99	ACOT7	YES	
100	ACOT9	YES	
101	ACOX1	YES	
102	ACOX2	YES	
103	ACOX3	YES	
104	ACP1	YES	
105	ACP2	YES	
106	ACP6	YES	
107	ACPL2		
108	ACPP	YES	Mesenchymal
109	ACRBP		
110	ACRC		
111	ACRV1	YES	
112	ACSBG1	YES	Classical
113	ACSBG2	YES	
114	ACSF2		
115	ACSF3		
116	ACSL3	YES	Classical
117	ACSM1	YES	
118	ACSM3	YES	
119	ACSS1		
120	ACSS2		
121	ACSS3		
122	ACTA1	YES	
123	ACTA2	YES	
124	ACTB	YES	
125	ACTG1	YES	
126	ACTL6A	YES	
127	ACTL6B	YES	
128	ACTN1	YES	
129	ACTN4	YES	
130	ACTR2	YES	
131	ACTR3	YES	
132	ACTR5	YES	
133	ACTR8	YES	
