project_accession	project_alias	sample_alias	run_alias	library_name	library_source	library_selection	library_strategy	library_construction_protocol	instrument_model	file_type	library_layout	insert_size	forward_file_name	reverse_file_name
EGAS00001005436	G-SAM	AAB1	AAB1-1917_NGS19-J295_AHKK5WDSXX_S35_L002	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAB1-1917_NGS19-J295_AHKK5WDSXX_S35_L002_R1_001.fastq.gz	AAB1-1917_NGS19-J295_AHKK5WDSXX_S35_L002_R2_001.fastq.gz
EGAS00001005436	G-SAM	AAB1	AAB1-1917_NGS19-J295_BHJTTYDSXX_S29_L001	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAB1-1917_NGS19-J295_BHJTTYDSXX_S29_L001_R1_001.fastq.gz	AAB1-1917_NGS19-J295_BHJTTYDSXX_S29_L001_R2_001.fastq.gz
EGAS00001005437	G-SAM	AAB2	AAB2_NGS20-O001_AHGJCYDSXY_S65_L002	NGS20	TRANSCRIPTOMIC	cDNA	RNA-seq	RNeasy FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAB2_NGS20-O001_AHGJCYDSXY_S65_L002_R1_001.fastq.gz	AAB2_NGS20-O001_AHGJCYDSXY_S65_L002_R2_001.fastq.gz
EGAS00001005437	G-SAM	AAC1	AAC1-1920_NGS19-J291_AHKK5WDSXX_S31_L002	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAC1-1920_NGS19-J291_AHKK5WDSXX_S31_L002_R1_001.fastq.gz	AAC1-1920_NGS19-J291_AHKK5WDSXX_S31_L002_R2_001.fastq.gz
EGAS00001005438	G-SAM	AAC1	AAC1-1920_NGS19-J291_BHJTTYDSXX_S25_L001	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAC1-1920_NGS19-J291_BHJTTYDSXX_S25_L001_R1_001.fastq.gz	AAC1-1920_NGS19-J291_BHJTTYDSXX_S25_L001_R2_001.fastq.gz
EGAS00001005438	G-SAM	AAC2	AAC2-1922_NGS19-J487_AHM2NJDSXX_S35_L002	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAC2-1922_NGS19-J487_AHM2NJDSXX_S35_L002_R1_001.fastq.gz	AAC2-1922_NGS19-J487_AHM2NJDSXX_S35_L002_R2_001.fastq.gz
EGAS00001005439	G-SAM	AAD1	AAD1-2358_NGS19-J482_AHM2NJDSXX_S30_L002	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAD1-2358_NGS19-J482_AHM2NJDSXX_S30_L002_R1_001.fastq.gz	AAD1-2358_NGS19-J482_AHM2NJDSXX_S30_L002_R2_001.fastq.gz
EGAS00001005439	G-SAM	AAF1	AAF1-1923_NGS19-J420_AHLGTCDSXX_S64_L003	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAF1-1923_NGS19-J420_AHLGTCDSXX_S64_L003_R1_001.fastq.gz	AAF1-1923_NGS19-J420_AHLGTCDSXX_S64_L003_R2_001.fastq.gz
EGAS00001005440	G-SAM	AAF2	AAF2-1927_NGS19-J334_AHKK5WDSXX_S122_L004	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAF2-1927_NGS19-J334_AHKK5WDSXX_S122_L004_R1_001.fastq.gz	AAF2-1927_NGS19-J334_AHKK5WDSXX_S122_L004_R2_001.fastq.gz
EGAS00001005440	G-SAM	AAG1	AAG1-1928_NGS19-J371_AHLGTCDSXX_S15_L002	NGS19	TRANSCRIPTOMIC	cDNA	RNA-seq	Allprep DNA/RNA FFPE kit (Qiagen, Venlo, The Netherlands)	Illumina NovaSeq 6000	fastq	PAIRED	200	AAG1-1928_NGS19-J371_AHLGTCDSXX_S15_L002_R1_001.fastq.gz	AAG1-1928_NGS19-J371_AHLGTCDSXX_S15_L002_R2_001.fastq.gz
