"Sample","svm.subtype.call","Classical","Mesenchymal","Proneural"
"AAB1","Classical","0.999","0","0"
"AAB2-new","Mesenchymal","0.302","0.517","0.182"
"AAC1","Classical","1","0","0"
"AAC2","Mesenchymal","0","0.97","0.03"
"AAD1","Classical","0.944","0.046","0.01"
"AAF1","Proneural","0.414","0.058","0.527"
"AAF2","Mesenchymal","0.149","0.463","0.388"
"AAG1","Mesenchymal","0.001","0.949","0.05"
"AAG2","Mesenchymal","0","0.999","0.001"
"AAJ1","Proneural","0","0","1"
"AAJ2","Mesenchymal","0.002","0.937","0.061"
"AAL1","Mesenchymal","0.003","0.994","0.003"
"AAL2","Mesenchymal","0.292","0.68","0.028"
"AAM1","Classical","0.999","0.001","0.001"
"AAM2","Classical","0.84","0.003","0.157"
"AAN1","Classical","0.999","0","0.001"
"AAN2","Mesenchymal","0.171","0.822","0.007"
"AAP1-new","Classical","0.98","0.005","0.015"
"AAP2","Proneural","0.216","0.314","0.471"
"AAS1","Mesenchymal","0","0.975","0.025"
"AAS2","Mesenchymal","0","0.947","0.053"
"AAT1","Classical","0.998","0","0.001"
"AAT2","Mesenchymal","0.01","0.967","0.023"
"AAU1","Mesenchymal","0.011","0.83","0.159"
"AAU2","Proneural","0.014","0.341","0.645"
"AAV1","Classical","1","0","0"
"AAV2","Classical","0.986","0.003","0.011"
"AAW1","Mesenchymal","0.004","0.996","0"
"AAW2","Mesenchymal","0.095","0.686","0.218"
"AAX1","Classical","0.975","0.016","0.009"
"AAX2","Classical","0.997","0.001","0.002"
"AAY1","Classical","0.633","0.134","0.233"
"AAY2","Mesenchymal","0.01","0.987","0.003"
"ABA2","Mesenchymal","0.086","0.909","0.005"
"ACA1","Classical","0.996","0.004","0"
"ACA2","Mesenchymal","0","1","0"
"ADA1","Classical","0.853","0.1","0.047"
"ADA2","Classical","0.271","0.367","0.362"
"AFA1","Proneural","0","0","1"
"AFA2","Proneural","0","0","1"
"AHA1","Mesenchymal","0.263","0.724","0.012"
"AHA2","Classical","0.997","0.002","0.001"
"AIA1","Mesenchymal","0","0.99","0.01"
"AIA2","Mesenchymal","0.005","0.991","0.005"
"AKA2","Proneural","0","0","1"
"ALA1","Classical","0.995","0.002","0.003"
"ALA2","Classical","0.998","0.001","0.001"
"AMA1","Classical","0.995","0.001","0.004"
"AMA2","Mesenchymal","0.215","0.739","0.046"
"AOA1","Proneural","0.328","0.058","0.614"
"AOA2","Mesenchymal","0.011","0.988","0.001"
"AQA1","Mesenchymal","0.006","0.702","0.292"
"AQA2","Mesenchymal","0","0.997","0.003"
"AZA1","Proneural","0.01","0.184","0.806"
"AZA2","Proneural","0.148","0.17","0.682"
"AZB1","Classical","0.998","0.002","0"
"AZB2","Classical","0.985","0.001","0.014"
"AZC1","Proneural","0","0.001","0.998"
"AZC2","Proneural","0","0","1"
"AZD1","Classical","0.844","0","0.156"
"AZD2","Classical","0.864","0.003","0.133"
