"Sample","svm_call","knn_call","gsea_call","equal.call","majority.call"
"AAB1","Classical","Classical","Classical","TRUE","Classical"
"AAB2-new","Mesenchymal","Classical","Mesenchymal","FALSE","Mesenchymal"
"AAC1","Classical","Classical","Classical","TRUE","Classical"
"AAC2","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"AAD1","Classical","Mesenchymal","Mesenchymal","FALSE","Mesenchymal"
"AAF1","Proneural","Classical","Classical","FALSE","Classical"
"AAF2","Mesenchymal","Classical","Classical","FALSE","Classical"
"AAG1","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"AAG2","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"AAJ1","Proneural","Proneural","Proneural","TRUE","Proneural"
"AAJ2","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"AAL1","Mesenchymal","Classical","Mesenchymal","FALSE","Mesenchymal"
"AAL2","Mesenchymal","Classical","Classical","FALSE","Classical"
"AAM1","Classical","Classical","Classical","TRUE","Classical"
"AAM2","Classical","Classical","Proneural","FALSE","Classical"
"AAN1","Classical","Classical","Classical","TRUE","Classical"
"AAN2","Mesenchymal","Classical","Classical","FALSE","Classical"
"AAP1-new","Classical","Classical","Classical","TRUE","Classical"
"AAP2","Proneural","Classical","Classical","FALSE","Classical"
"AAS1","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"AAS2","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"AAT1","Classical","Classical","Classical","TRUE","Classical"
"AAT2","Mesenchymal","Classical","Mesenchymal","FALSE","Mesenchymal"
"AAU1","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"AAU2","Proneural","Mesenchymal","Mesenchymal","FALSE","Mesenchymal"
"AAV1","Classical","Classical","Classical","TRUE","Classical"
"AAV2","Classical","Classical","Classical","TRUE","Classical"
"AAW1","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"AAW2","Mesenchymal","Classical","Mesenchymal","FALSE","Mesenchymal"
"AAX1","Classical","Classical","Classical","TRUE","Classical"
"AAX2","Classical","Classical","Classical","TRUE","Classical"
"AAY1","Classical","Mesenchymal","Mesenchymal","FALSE","Mesenchymal"
"AAY2","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"ABA2","Mesenchymal","Classical","Mesenchymal","FALSE","Mesenchymal"
"ACA1","Classical","Classical","Classical","TRUE","Classical"
"ACA2","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"ADA1","Classical","Classical","Classical","TRUE","Classical"
"ADA2","Classical","Classical","Proneural","FALSE","Classical"
"AFA1","Proneural","Proneural","Proneural","TRUE","Proneural"
"AFA2","Proneural","Proneural","Proneural","TRUE","Proneural"
"AHA1","Mesenchymal","Classical","Mesenchymal","FALSE","Mesenchymal"
"AHA2","Classical","Classical","Classical","TRUE","Classical"
"AIA1","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"AIA2","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"AKA2","Proneural","Proneural","Proneural","TRUE","Proneural"
"ALA1","Classical","Classical","Classical","TRUE","Classical"
"ALA2","Classical","Classical","Classical","TRUE","Classical"
"AMA1","Classical","Classical","Classical","TRUE","Classical"
"AMA2","Mesenchymal","Classical","Classical","FALSE","Classical"
"AOA1","Proneural","Classical","Proneural","FALSE","Proneural"
"AOA2","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"AQA1","Mesenchymal","Classical","Mesenchymal","FALSE","Mesenchymal"
"AQA2","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"AZA1","Proneural","Mesenchymal","Mesenchymal","FALSE","Mesenchymal"
"AZA2","Proneural","Classical","Mesenchymal","FALSE","Classical"
"AZB1","Classical","Classical","Classical","TRUE","Classical"
"AZB2","Classical","Classical","Classical","TRUE","Classical"
"AZC1","Proneural","Proneural","Proneural","TRUE","Proneural"
"AZC2","Proneural","Proneural","Proneural","TRUE","Proneural"
"AZD1","Classical","Classical","Classical","TRUE","Classical"
"AZD2","Classical","Classical","Classical","TRUE","Classical"
"AZE1-new","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"AZE2","Mesenchymal","Classical","Mesenchymal","FALSE","Mesenchymal"
"AZF1","Mesenchymal","Classical","Mesenchymal","FALSE","Mesenchymal"
"AZF2","Proneural","Classical","Proneural","FALSE","Proneural"
"AZG1","Classical","Classical","Classical","TRUE","Classical"
"AZG2","Classical","Classical","Classical","TRUE","Classical"
"AZH1","Classical","Classical","Mesenchymal","FALSE","Classical"
"AZH2-new","Classical","Classical","Classical","TRUE","Classical"
"BAA1","Classical","Classical","Classical","TRUE","Classical"
"BAA2","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"BAB1","Proneural","Proneural","Proneural","TRUE","Proneural"
"BAB2","Proneural","Proneural","Proneural","TRUE","Proneural"
"BAC1","Proneural","Classical","Classical","FALSE","Classical"
"BAC2","Mesenchymal","Classical","Mesenchymal","FALSE","Mesenchymal"
"BAD1","Classical","Classical","Classical","TRUE","Classical"
"BAD2","Proneural","Proneural","Proneural","TRUE","Proneural"
"BAE1","Proneural","Mesenchymal","Mesenchymal","FALSE","Mesenchymal"
"BAE2","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"BAH1","Classical","Classical","Classical","TRUE","Classical"
"BAH2","Classical","Classical","Classical","TRUE","Classical"
"BAI1","Proneural","Classical","Proneural","FALSE","Proneural"
"BAI2-new","Proneural","Classical","Proneural","FALSE","Proneural"
"BAJ1","Classical","Classical","Proneural","FALSE","Classical"
"BAJ2","Mesenchymal","Classical","Mesenchymal","FALSE","Mesenchymal"
"BAK1","Proneural","Proneural","Proneural","TRUE","Proneural"
"BAK2","Classical","Classical","Proneural","FALSE","Classical"
"BAL1","Classical","Classical","Classical","TRUE","Classical"
"BAL2","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"BAM1","Classical","Classical","Proneural","FALSE","Classical"
"BAM2","Mesenchymal","Classical","Mesenchymal","FALSE","Mesenchymal"
"BAN2","Proneural","Classical","Proneural","FALSE","Proneural"
"BAO1","Proneural","Proneural","Proneural","TRUE","Proneural"
"BAO2","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"BAR1","Proneural","Mesenchymal","Proneural","FALSE","Proneural"
"BAR2","Proneural","Classical","Mesenchymal","FALSE","Classical"
"BAS1","Classical","Mesenchymal","Mesenchymal","FALSE","Mesenchymal"
"BAS2","Classical","Classical","Mesenchymal","FALSE","Classical"
"BAT1","Proneural","Classical","Classical","FALSE","Classical"
"BAT2-new","Classical","Classical","Classical","TRUE","Classical"
"BAW1","Proneural","Proneural","Proneural","TRUE","Proneural"
"BAW2","Classical","Classical","Classical","TRUE","Classical"
"BAX1","Mesenchymal","Classical","Proneural","FALSE","Classical"
"BAY1","Mesenchymal","Classical","Classical","FALSE","Classical"
"BAY2-new","Mesenchymal","Classical","Mesenchymal","FALSE","Mesenchymal"
"CAC1-new","Classical","Classical","Classical","TRUE","Classical"
"CAC2","Classical","Classical","Classical","TRUE","Classical"
"CAD1","Proneural","Proneural","Proneural","TRUE","Proneural"
"CAD2","Proneural","Mesenchymal","Proneural","FALSE","Proneural"
"CAF1","Classical","Classical","Mesenchymal","FALSE","Classical"
"CAF2","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"CAO1-new","Classical","Classical","Classical","TRUE","Classical"
"CAO1-replicate","Classical","Classical","Classical","TRUE","Classical"
"CAO2","Classical","Classical","Classical","TRUE","Classical"
"CAV1-new","Proneural","Mesenchymal","Mesenchymal","FALSE","Mesenchymal"
"CAV2","Proneural","Proneural","Proneural","TRUE","Proneural"
"CBA1","Classical","Classical","Classical","TRUE","Classical"
"CBA2","Proneural","Classical","Mesenchymal","FALSE","Classical"
"CBE1","Classical","Classical","Classical","TRUE","Classical"
"CBE2","Classical","Classical","Classical","TRUE","Classical"
"CBG1","Proneural","Proneural","Proneural","TRUE","Proneural"
"CBH1","Proneural","Classical","Proneural","FALSE","Proneural"
"CBH2","Proneural","Classical","Proneural","FALSE","Proneural"
"CBI1","Classical","Classical","Classical","TRUE","Classical"
"CBI2","Classical","Classical","Classical","TRUE","Classical"
"CBM1","Classical","Classical","Mesenchymal","FALSE","Classical"
"CBM2","Mesenchymal","Mesenchymal","Mesenchymal","TRUE","Mesenchymal"
"CBP1","Classical","Classical","Classical","TRUE","Classical"
"CBP2","Mesenchymal","Classical","Mesenchymal","FALSE","Mesenchymal"
"CBQ1-new","Classical","Classical","Classical","TRUE","Classical"
"CBQ2","Classical","Classical","Classical","TRUE","Classical"
"CBR1","Proneural","Proneural","Proneural","TRUE","Proneural"
"CBR2","Proneural","Proneural","Proneural","TRUE","Proneural"
