"","Proneural","Classical","Mesenchymal","Proneural_pval","Classical_pval","Mesenchymal_pval","gsea.subtype.call"
"AAB1","-34.59","55.9","-4.28","0.99","0.0099","0.842","Classical"
"AAB2.new","-30.98","43.41","3.82","0.931","0.545","0.208","Mesenchymal"
"AAC1","-39.63","60.07","-6.61","1","0.0099","0.95","Classical"
"AAC2","-38.44","15.4","36.42","1","1","0.0099","Mesenchymal"
"AAD1","-41.12","37.08","20.78","1","1","0.0099","Mesenchymal"
"AAF1","-19.49","54.48","-13.57","0.188","0.0099","1","Classical"
"AAF2","-27.73","46.28","0.72","0.842","0.139","0.574","Classical"
"AAG1","-34.37","20.79","31.25","0.99","1","0.0099","Mesenchymal"
"AAG2","-46.7","32.73","25.26","1","1","0.0099","Mesenchymal"
"AAJ1","11.81","29.91","-21.47","0.0099","1","1","Proneural"
"AAJ2","-28.16","31.15","17.04","0.851","1","0.0099","Mesenchymal"
"AAL1","-36.26","38.18","15.4","1","0.97","0.0099","Mesenchymal"
"AAL2","-31.3","50.07","-0.06","0.95","0.0297","0.634","Classical"
"AAM1","-35.23","54.21","-4.19","0.99","0.0099","0.842","Classical"
"AAM2","-8.38","58.08","-23.08","0.0099","0.0099","1","Proneural"
"AAN1","-25.88","58.43","-12.79","0.733","0.0099","1","Classical"
"AAN2","-36.96","49.49","5.83","1","0.0297","0.109","Classical"
"AAP1.new","-28.29","56.89","-11.12","0.871","0.0099","1","Classical"
"AAP2","-25.11","47.15","-1.23","0.683","0.0594","0.693","Classical"
"AAS1","-33","13.29","41.99","0.98","1","0.0099","Mesenchymal"
"AAS2","-32.44","8.74","44.79","0.98","1","0.0099","Mesenchymal"
"AAT1","-23.96","57","-14.1","0.614","0.0099","1","Classical"
"AAT2","-34.98","40.02","9.85","0.99","0.901","0.0297","Mesenchymal"
"AAU1","-29.75","22.02","26.54","0.921","1","0.0099","Mesenchymal"
"AAU2","-22.82","29.23","14.68","0.495","1","0.0099","Mesenchymal"
"AAV1","-38.47","59.54","-6.6","1","0.0099","0.95","Classical"
"AAV2","-24.34","58.09","-13.62","0.653","0.0099","1","Classical"
"AAW1","-49.66","38.23","19.95","1","0.97","0.0099","Mesenchymal"
"AAW2","-37.42","44.47","9.02","1","0.396","0.0495","Mesenchymal"
"AAX1","-28.99","52.19","-3.39","0.901","0.0198","0.812","Classical"
"AAX2","-28.72","59.89","-11.49","0.881","0.0099","1","Classical"
"AAY1","-37.84","42.06","14.87","1","0.703","0.0099","Mesenchymal"
"AAY2","-35.78","26.49","32.53","1","1","0.0099","Mesenchymal"
"ABA2","-40.87","45.09","13.95","1","0.347","0.0099","Mesenchymal"
"ACA1","-40.96","48","6.43","1","0.0396","0.099","Classical"
"ACA2","-43.1","24.09","35.34","1","1","0.0099","Mesenchymal"
"ADA1","-32.08","48.92","1.12","0.97","0.0396","0.505","Classical"
"ADA2","-18.64","40.97","4.67","0.149","0.832","0.139","Mesenchymal"
"AFA1","10.19","27.85","-14.21","0.0099","1","1","Proneural"
"AFA2","15.79","30.92","-22.53","0.0099","1","1","Proneural"
"AHA1","-37.34","43.23","10.54","1","0.574","0.0297","Mesenchymal"
"AHA2","-37.31","53.98","-3.71","1","0.0099","0.822","Classical"
"AIA1","-38.82","29.76","22.55","1","1","0.0099","Mesenchymal"
"AIA2","-31.91","15.75","37.7","0.96","1","0.0099","Mesenchymal"
"AKA2","23.5","36.16","-37.54","0.0099","1","1","Proneural"
"ALA1","-28.79","56.87","-9.32","0.891","0.0099","1","Classical"
"ALA2","-29.77","58.79","-10.33","0.921","0.0099","1","Classical"
"AMA1","-23.36","59.24","-17.07","0.535","0.0099","1","Classical"
"AMA2","-32.06","47.61","6.2","0.97","0.0396","0.099","Classical"
"AOA1","-21.88","43.89","-0.51","0.406","0.515","0.663","Proneural"
"AOA2","-29.51","18.3","36.54","0.921","1","0.0099","Mesenchymal"
"AQA1","-27.59","36.57","7.08","0.832","1","0.099","Mesenchymal"
"AQA2","-29.61","20.39","33.93","0.921","1","0.0099","Mesenchymal"
"AZA1","-28.29","34","13.76","0.871","1","0.0099","Mesenchymal"
"AZA2","-24.76","42.42","0.82","0.683","0.683","0.554","Mesenchymal"
"AZB1","-38.64","53.79","-1.52","1","0.0099","0.713","Classical"
"AZB2","-19.7","59.56","-17.62","0.198","0.0099","1","Classical"
"AZC1","3.92","21.09","0.88","0.0099","1","0.545","Proneural"
"AZC2","22.16","21.19","-18.72","0.0099","1","1","Proneural"
"AZD1","-16.55","58.69","-26.27","0.0594","0.0099","1","Classical"
"AZD2","-26.34","53.8","-15.28","0.772","0.0099","1","Classical"
"AZE1.new","-27.89","33.97","11.65","0.842","1","0.0198","Mesenchymal"
"AZE2","-39.25","38.65","14.22","1","0.97","0.0099","Mesenchymal"
"AZF1","-33.46","42.74","8.17","0.99","0.614","0.0693","Mesenchymal"
"AZF2","-10.68","50.02","-16.82","0.0099","0.0297","1","Proneural"
"AZG1","-39.45","53.48","1.74","1","0.0099","0.475","Classical"
"AZG2","-24.96","64.2","-17.47","0.683","0.0099","1","Classical"
"AZH1","-37.32","45.82","4.63","1","0.198","0.139","Mesenchymal"
"AZH2.new","-28.78","44.57","1.61","0.881","0.396","0.475","Classical"
"BAA1","-20.35","53.41","-15.42","0.248","0.0099","1","Classical"
"BAA2","-27.31","21.9","24.26","0.822","1","0.0099","Mesenchymal"
"BAB1","16.64","22.81","-11.04","0.0099","1","1","Proneural"
"BAB2","2.89","32.63","-11.14","0.0099","1","1","Proneural"
"BAC1","-26.63","52.61","-5.78","0.792","0.0198","0.941","Classical"
"BAC2","-27.14","44.05","6.56","0.812","0.485","0.099","Mesenchymal"
"BAD1","-23.15","52.54","-10.01","0.535","0.0198","1","Classical"
"BAD2","13.28","35.2","-23.97","0.0099","1","1","Proneural"
"BAE1","-20.21","27.8","20.43","0.238","1","0.0099","Mesenchymal"
"BAE2","-33.57","26.11","32.71","0.99","1","0.0099","Mesenchymal"
"BAH1","-44.98","51.42","5.02","1","0.0198","0.129","Classical"
"BAH2","-25.2","51.75","-7.26","0.683","0.0198","0.97","Classical"
"BAI1","-19.23","42.92","-4.1","0.168","0.614","0.842","Proneural"
"BAI2.new","-6.48","34.45","-5.2","0.0099","1","0.921","Proneural"
"BAJ1","-14.53","40.39","-1.36","0.0297","0.871","0.693","Proneural"
"BAJ2","-27.01","43.17","1.63","0.812","0.574","0.475","Mesenchymal"
"BAK1","3.83","34.83","-19.29","0.0099","1","1","Proneural"
"BAK2","-18.14","46.69","-4.38","0.119","0.099","0.861","Classical"
"BAL1","-20.62","46.78","-4.74","0.287","0.0792","0.891","Classical"
"BAL2","-25.76","31.6","13.95","0.723","1","0.0099","Mesenchymal"
"BAM1","-8.89","50.63","-19.52","0.0099","0.0198","1","Proneural"
"BAM2","-26.33","34.88","8.39","0.772","1","0.0495","Mesenchymal"
"BAN2","-21.59","40.67","-0.4","0.366","0.861","0.644","Proneural"
"BAO1","5.87","20.75","-5.09","0.0099","1","0.911","Proneural"
"BAO2","-39.48","11.56","39.95","1","1","0.0099","Mesenchymal"
"BAR1","-14.66","30.98","7.85","0.0297","1","0.0792","Proneural"
"BAR2","-24.84","39.29","4.68","0.683","0.921","0.139","Mesenchymal"
"BAS1","-26.5","33.61","10.53","0.792","1","0.0297","Mesenchymal"
"BAS2","-25.62","37.91","6.36","0.703","0.99","0.099","Mesenchymal"
"BAT1","-13.35","52.19","-15.55","0.0099","0.0198","1","Proneural"
"BAT2.new","-26.31","53.6","-7.36","0.772","0.0099","0.97","Classical"
"BAW1","7.58","24.28","-6.62","0.0099","1","0.96","Proneural"
"BAW2","-14.17","54","-17.96","0.0297","0.0099","1","Classical"
"BAX1","-18.88","34.46","4.36","0.158","1","0.149","Mesenchymal"
"BAY1","-30.42","49.46","1.15","0.931","0.0297","0.495","Classical"
"BAY2.new","-32.07","41.35","9.35","0.97","0.782","0.0396","Mesenchymal"
"CAC1.new","-32.06","54.38","-7.61","0.97","0.0099","0.98","Classical"
"CAC2","-14.68","55.01","-17.75","0.0297","0.0099","1","Classical"
